"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"350",350,"45260-VGS@VAN","2023-11-30","Vegas Golden Knights","Vancouver Canucks",3,1,0,0,1,0,0,0,0,0
"351",351,"45260-WSH@ANA","2023-11-30","Washington Capitals","Anaheim Ducks",3,4,0,0,2,0,0,0,0,0
"352",352,"45261-OTT@CBJ","2023-12-01","Ottawa Senators","Columbus Blue Jackets",1,2,0,2,1,0,0,0,0,0
"353",353,"45261-SJ@NJ","2023-12-01","San Jose Sharks","New Jersey Devils",6,2,0,1,0,0,0,0,0,0
"354",354,"45262-BOS@TOR","2023-12-02","Boston Bruins","Toronto Maple Leafs",3,3,0,0,0,0,1,0,0,0
"355",355,"45262-BUF@CAR","2023-12-02","Buffalo Sabres","Carolina Hurricanes",2,3,0,2,0,1,0,0,0,0
"356",356,"45262-CHI@WPG","2023-12-02","Chicago Blackhawks","Winnipeg Jets",1,2,0,1,0,0,0,0,0,0
"357",357,"45262-COL@ANA","2023-12-02","Colorado Avalanche","Anaheim Ducks",3,1,0,2,0,0,0,0,0,1
"358",358,"45262-DET@MTL","2023-12-02","Detroit Red Wings","Montreal Canadiens",2,2,1,1,1,1,1,0,0,0
"359",359,"45262-NYI@FLA","2023-12-02","New York Islanders","Florida Panthers",3,3,0,0,1,0,0,0,0,0
"360",360,"45262-NYR@NSH","2023-12-02","New York Rangers","Nashville Predators",3,1,0,1,1,1,0,0,0,0
"361",361,"45262-PHI@PIT","2023-12-02","Philadelphia Flyers","Pittsburgh Penguins",1,3,1,0,1,0,0,0,1,0
"362",362,"45262-SEA@OTT","2023-12-02","Seattle Kraken","Ottawa Senators",0,2,0,0,0,0,0,0,0,0
"363",363,"45262-STL@ARI","2023-12-02","St. Louis Blues","Arizona Coyotes",1,3,0,1,0,0,0,0,0,0
